kanji	hiragana	type	english
カンガルー	カンガルー	noun	kangaroo
バタフライ	バタフライ	noun	butterfly
バット	バット	noun	bat
パラサイト	パラサイト	noun	parasite
ビートル	ビートル	noun	beetle
ピクシー	ピクシー	noun	pixie
プテラノドン	プテラノドン	noun	pteranodon
ポニー	ポニー	noun	pony
猩々	オランウータン	noun	orangutan
ゴリラ	ゴリラ	noun	gorilla
パンダ	パンダ	noun	panda
コアラ	コアラ	noun	koala
ミュー	ミュー	noun	mew
モルフォ	モルフォ	noun	morpho butterfly
モンキー	モンキー	noun	monkey
ラット	ラット	noun	rat
リザード	リザード	noun	lizard
ペンギン	ペンギン	noun	penguin
ライオン	ライオン	noun	lion
インセクト	インセクト	noun	insect
オウム	オウム	noun	parrot
オウムガイ	オウムガイ	noun	nautilus (chambered nautilus)
キャタピラー	キャタピラー	noun	caterpillar
サイ	サイ	noun	rhinoceros (sai)
ジュゴン	ジュゴン	noun	dugong
ダック	ダック	noun	duck
ドードー	ドードー	noun	dodo (bird)
