kanji	hiragana	type	english
額	ひたい	noun	forehead
顎	あご	noun	jaw; chin
頬	ほお	noun	cheek
眉	まゆ	noun	eyebrow
まつ毛	まつげ	noun	eyelash
肘	ひじ	noun	elbow
膝	ひざ	noun	knee
踵	かかと	noun	heel
爪	つめ	noun	nail; claw
手首	てくび	noun	wrist
足首	あしくび	noun	ankle
背中	せなか	noun	back
口	くち	noun	mouth
耳	みみ	noun	ear
首	くび	noun	neck
足	あし	noun	foot; leg
顔	かお	noun	face
目	め	noun	eye; (counter) -th (place)
血	ち	noun	blood
腕	うで	noun	arm; (figurative) skill
目玉	めだま	noun	eyeball
拳	こぶし	noun	fist
のど	のど	noun	throat
胸	むね	noun	chest
頭	あたま	noun	head
皮	かわ	noun	skin; peel; hide; leather
手	て	noun	hand; arm
体	からだ	noun	body
背	せ	noun	back
指紋	しもん	noun	fingerprint
掌	てのひら	noun	palm (of the hand)
