# Commerce (Nouns / Business).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
手続き	てつづき	noun	procedure; process
買い物	かいもの	noun	shopping
広告	こうこく	noun	advertisement
加入	かにゅう	noun	joining; enrollment; membership
新品	しんぴん	noun	new item; brand-new (condition)
中古	ちゅうこ	noun	used; secondhand
買い物リスト	かいものリスト	noun	shopping list
計画	けいかく	noun	plan
登録	とうろく	noun	registration; subscription
報告	ほうこく	noun	report; reporting
予約	よやく	noun	reservation
予定	よてい	noun	plan; schedule
無料	むりょう	noun	free of charge
案内	あんない	noun	guidance; information
連絡	れんらく	noun	contact; communication
約束	やくそく	noun	promise
相談	そうだん	noun	consultation; advice
準備	じゅんび	noun	preparation
理由書	りゆうしょ	noun	written statement of reasons
書類	しょるい	noun	documents; paperwork
身分証	みぶんしょう	noun	ID card; identification
番号	ばんごう	noun	number; ID number
番号札	ばんごうふだ	noun	number ticket; queue ticket
申込	もうしこみ	noun	application; sign-up
受付	うけつけ	noun	reception; front desk
番号順	ばんごうじゅん	noun	numerical order
列	れつ	noun	line; queue
順番	じゅんばん	noun	turn; order
確認	かくにん	noun	confirmation; check
部屋代	へやだい	noun	room charge
協会	きょうかい	noun	association; society
商品	しょうひん	noun	goods; merchandise
商売	しょうばい	noun	business; trade
商業	しょうぎょう	noun	commerce; business
在庫	ざいこ	noun	stock; inventory
支店	してん	noun	branch (office/store)
出荷	しゅっか	noun	shipment; shipping out
入荷	にゅうか	noun	arrival of goods; restocking
製品	せいひん	noun	product; manufactured goods
閉店	へいてん	noun	closing (a shop); store closure
闇市	やみいち	noun	black market
伝票	でんぴょう	noun	slip; voucher; sales chit
