# Money (Nouns / Business).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
お金	おかね	noun	money
お釣り	おつり	noun	change (money)
送料	そうりょう	noun	shipping fee; postage
銭	ぜに	noun	money; coins; small change
貿易	ぼうえき	noun	trade
税	ぜい	noun	tax
特売	とくばい	noun	special sale
会計	かいけい	noun	bill; accounting
財布	さいふ	noun	wallet
保険	ほけん	noun	insurance
料金	りょうきん	noun	fee; charge
値段	ねだん	noun	price
領収書	りょうしゅうしょ	noun	receipt
売買	ばいばい	noun	trade; buying and selling
借金	しゃっきん	noun	debt; loan
収入	しゅうにゅう	noun	income; earnings
巨額	きょがく	noun	huge sum (of money)
振り込み	ふりこみ	noun	bank transfer; deposit
支払い	しはらい	noun	payment
払い戻し	はらいもどし	noun	refund; repayment
旅費	りょひ	noun	travel expenses
景気	けいき	noun	business conditions; the economy
硬貨	こうか	noun	coin
礼金	れいきん	noun	key money (to a landlord)
税金	ぜいきん	noun	tax
消費税	しょうひぜい	noun	consumption tax
関税	かんぜい	noun	tariff; customs duty
節約	せつやく	noun	economizing; saving
給与	きゅうよ	noun	salary; wages; allowance
給料	きゅうりょう	noun	salary; wages; pay
財産	ざいさん	noun	property; assets; fortune
通貨	つうか	noun	currency
貯金	ちょきん	noun	savings; saving money
貯蓄	ちょちく	noun	savings; accumulation
賞金	しょうきん	noun	prize money; cash award
高騰	こうとう	noun	sharp price rise; surge
