# Clothing (Nouns / Clothing).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
くつ	くつ	noun	shoes
靴	くつ	noun	shoes
服	ふく	noun	clothes
上着	うわぎ	noun	jacket; outerwear
帽子	ぼうし	noun	hat; cap
制服	せいふく	noun	uniform
草履	ぞうり	noun	zori; traditional sandals
洋服	ようふく	noun	Western-style clothes
木綿	もめん	noun	cotton (fabric)
靴下	くつした	noun	socks
革靴	かわぐつ	noun	leather shoes
長靴	ながぐつ	noun	boots; rain boots
帯	おび	noun	obi; sash; belt
衣服	いふく	noun	clothing; clothes
浴衣	ゆかた	noun	yukata; light cotton kimono
