# Communication (Nouns / Communication).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
答え	こたえ	noun	answer
挨拶	あいさつ	noun	greeting; to greet
喝采	かっさい	noun	applause; cheers
発言	はつげん	noun	remark; statement
話題	わだい	noun	topic
一言	ひとこと	noun	a word; a brief remark
通信	つうしん	noun	communication; data connection; telecoms
手紙	てがみ	noun	letter
声	こえ	noun	voice
質問	しつもん	noun	question (to ask)
注意	ちゅうい	noun	attention; caution
説明	せつめい	noun	explanation
電話番号	でんわばんごう	noun	phone number
会話	かいわ	noun	conversation
電話	でんわ	noun	telephone; phone call
