# School (Nouns / Education).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
訓練	くんれん	noun	training; drill
資料	しりょう	noun	materials; reference materials
学生	がくせい	noun	student
宿題	しゅくだい	noun	homework
試験	しけん	noun	exam
計算	けいさん	noun	calculation
勉強	べんきょう	noun	study
学習	がくしゅう	noun	learning; study
生徒	せいと	noun	student (pupil; esp. school)
入学	にゅうがく	noun	entrance to school; matriculation
中学校	ちゅうがっこう	noun	junior high school; middle school
高校生	こうこうせい	noun	high school student
小学生	しょうがくせい	noun	elementary school student
幼稚園	ようちえん	noun	kindergarten; preschool
校庭	こうてい	noun	schoolyard; school grounds
担任	たんにん	noun	homeroom teacher
専攻	せんこう	noun	major; field of study
