# Fruits (Nouns / Food).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
ぶどう	ぶどう	noun	grapes
橙色	だいだいいろ	noun	orange
りんご	りんご	noun	apple
桜色	さくらいろ	noun	cherry blossom pink
みかん	みかん	noun	mandarin orange
果物	くだもの	noun	fruit
林檎	りんご	noun	apple
葡萄	ぶどう	noun	grapes
苺	いちご	noun	strawberries
梨	なし	noun	Japanese pear
洋梨	ようなし	noun	(western) pear
柿	かき	noun	persimmon
さくらんぼ	さくらんぼ	noun	cherry (fruit)
西瓜	すいか	noun	watermelon
干し柿	ほしがき	noun	dried persimmon
桃	もも	noun	peach
白桃	はくとう	noun	white peach
梅	うめ	noun	plum; ume
橙	だいだい	noun	bitter orange; daidai
