# Gaming (Nouns / Gaming).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
氷	こおり	noun	ice (type); ice
遊び	あそび	noun	play; playing
音楽ゲーム	おんがくゲーム	noun	music rhythm game
進化	しんか	noun	evolution; (game) evolution/upgrade
格闘	かくとう	noun	fighting (type); hand-to-hand combat
地面	じめん	noun	ground (type); ground/earth
点数	てんすう	noun	score; points
規則	きそく	noun	rule; regulation
柔道	じゅうどう	noun	judo
武道	ぶどう	noun	martial arts
決勝	けっしょう	noun	final (round/match)
水泳	すいえい	noun	swimming
背泳ぎ	せおよぎ	noun	backstroke
海水浴	かいすいよく	noun	sea bathing; swimming in the sea
鉄棒	てつぼう	noun	horizontal bar (gymnastics); iron rod
狩猟	しゅりょう	noun	hunting
守備	しゅび	noun	defense; fielding
竹刀	しない	noun	bamboo sword (kendo)
縄跳び	なわとび	noun	jump rope; skipping
謎々	なぞなぞ	noun	riddle
剣道	けんどう	noun	kendo
登山	とざん	noun	mountain climbing
競技	きょうぎ	noun	competition; sporting event
試合	しあい	noun	match; game; bout
釣り	つり	noun	fishing; angling
投手	とうしゅ	noun	pitcher (baseball)
