# Health (Nouns / Health).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
漢方	かんぽう	noun	Chinese medicine; traditional medicine
注射	ちゅうしゃ	noun	injection
薬	くすり	noun	medicine
医者	いしゃ	noun	doctor
病気	びょうき	noun	illness
熱	ねつ	noun	fever; heat
健康	けんこう	noun	health
運動	うんどう	noun	exercise; physical activity
傷	きず	noun	wound; scratch; injury
負傷	ふしょう	noun	injury; being wounded
火傷	やけど	noun	burn (injury)
副作用	ふくさよう	noun	side effect
疲労	ひろう	noun	fatigue; exhaustion
嗅覚	きゅうかく	noun	sense of smell
寒気	さむけ	noun	chills; the shivers
体操	たいそう	noun	gymnastics; physical exercises
食欲	しょくよく	noun	appetite
炎症	えんしょう	noun	inflammation
疲れ	つかれ	noun	tiredness; fatigue
症状	しょうじょう	noun	symptoms
重症	じゅうしょう	noun	serious illness; severe case
看病	かんびょう	noun	nursing (a sick person)
目眩	めまい	noun	dizziness; vertigo
歯磨き	はみがき	noun	toothbrushing
血糖値	けっとうち	noun	blood sugar level
歯科	しか	noun	dentistry
耳鼻科	じびか	noun	ear, nose, and throat (ENT) clinic
脂肪	しぼう	noun	fat; body fat
治療	ちりょう	noun	medical treatment
虫歯	むしば	noun	tooth decay; cavity
献血	けんけつ	noun	blood donation
出産	しゅっさん	noun	childbirth; delivery
医療	いりょう	noun	medical care; healthcare
療養	りょうよう	noun	recuperation; medical treatment
診療	しんりょう	noun	medical examination and treatment
贅肉	ぜいにく	noun	excess flesh; flab
退院	たいいん	noun	leaving the hospital; discharge
風邪	かぜ	noun	cold (illness)
診察	しんさつ	noun	medical examination; consultation
診断	しんだん	noun	diagnosis
頭痛	ずつう	noun	headache
麻酔	ますい	noun	anesthesia
麻薬	まやく	noun	narcotics; illegal drugs
鼻血	はなぢ	noun	nosebleed
鼻水	はなみず	noun	runny nose; nasal mucus
