# Concepts (Nouns / Mythology).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
参上	さんじょう	noun	dramatic appearance; arrival
合掌	がっしょう	noun	prayer with palms together; requiescat
覚醒	かくせい	noun	awakening (sudden power/awareness); arousal
結界	けっかい	noun	barrier (magical/spiritual); protective boundary
伝説	でんせつ	noun	legend; myth
必殺技	ひっさつわざ	noun	finishing move; special killing technique
封印	ふういん	noun	seal; sealing (magic/closure)
変身	へんしん	noun	transformation; changing form
魔法	まほう	noun	magic
卍解	ばんかい	noun	Bankai; final release (fictional term)
神話	しんわ	noun	myth
ギリシャ神話	ギリシャしんわ	noun	Greek mythology
超能力	ちょうのうりょく	noun	psychic powers; psychic (type)
逆鱗	げきりん	noun	dragon’s reverse scale; (idiom) fierce anger
吉	きち	noun	good luck; good fortune (fortune slip)
大吉	だいきち	noun	great good luck (best fortune)
