kanji	hiragana	type	english
渓谷	けいこく	noun	valley; ravine
峡谷	きょうこく	noun	gorge; canyon
滝	たき	noun	waterfall
湿地	しっち	noun	wetland
砂漠	さばく	noun	desert
半島	はんとう	noun	peninsula
岬	みさき	noun	cape; headland
入江	いりえ	noun	cove; inlet
丘陵	きゅうりょう	noun	hills
高原	こうげん	noun	plateau; highland
火山	かざん	noun	volcano
島	しま	noun	island
丘	おか	noun	hill
砂丘	さきゅう	noun	sand dune
南極	なんきょく	noun	South Pole; Antarctic
坂	さか	noun	slope; hill
坂道	さかみち	noun	sloping road; hill road
海峡	かいきょう	noun	strait; channel
風景	ふうけい	noun	scenery; landscape
氷河	ひょうが	noun	glacier
沖	おき	noun	open sea; offshore
沖合	おきあい	noun	offshore; the offing
浅瀬	あさせ	noun	shallows; shoal
渓流	けいりゅう	noun	mountain stream
湖畔	こはん	noun	lakeside; lakeshore
