kanji	hiragana	type	english
バリア	バリア	noun	barrier
電子レンジ	でんしレンジ	noun	microwave oven
カーテン	カーテン	noun	curtain
ホーン	ホーン	noun	horn
ポット	ポット	noun	pot; kettle
ドライバー	ドライバー	noun	screwdriver
ペンチ	ペンチ	noun	pliers
ポリゴン	ポリゴン	noun	polygon
マイン	マイン	noun	mine
ルージュ	ルージュ	noun	rouge
ドリル	ドリル	noun	drill
ベッド	ベッド	noun	bed
シャワー	シャワー	noun	shower
タオル	タオル	noun	towel
ソファ	ソファ	noun	sofa
テーブル	テーブル	noun	table
イス	イス	noun	chair
ライト	ライト	noun	light
カード	カード	noun	card
ガス	がす	noun	gas
バッグ	バッグ	noun	bag
ベル	ベル	noun	bell
ゴム	ゴム	noun	rubber
コップ	コップ	noun	cup; glass
ノート	ノート	noun	notebook
プレゼント	プレゼント	noun	present; gift
