# Materials (Nouns / Objects).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
鋼	はがね	noun	steel
鋼管	こうかん	noun	steel pipe
鋼材	こうざい	noun	steel materials; structural steel
鋼鉄	こうてつ	noun	steel
鋼板	こうばん	noun	steel plate; sheet steel
製鋼	せいこう	noun	steelmaking; steel production
厚紙	あつがみ	noun	cardboard; thick paper
束	たば	noun	bundle; bunch; sheaf
炭	すみ	noun	charcoal
木炭	もくたん	noun	charcoal (for art/fuel)
瀬戸物	せともの	noun	earthenware; china
象牙	ぞうげ	noun	ivory
毛皮	けがわ	noun	fur; pelt
粉	こな	noun	powder; flour
粉末	ふんまつ	noun	powder
毛糸	けいと	noun	wool; knitting yarn
綿	わた	noun	cotton; padding
縄	なわ	noun	rope; cord
脂	あぶら	noun	fat; grease
樹脂	じゅし	noun	resin
銅	どう	noun	copper
銅像	どうぞう	noun	bronze statue
麻	あさ	noun	hemp; linen
革	かわ	noun	leather; hide
材料	ざいりょう	noun	material; ingredient
木材	もくざい	noun	wood; lumber; timber
織物	おりもの	noun	textile; fabric
