kanji	hiragana	type	english
祖父	そふ	noun	grandfather
曽祖母	そうそぼ	noun	great-grandmother
甥	おい	noun	nephew
姪	めい	noun	niece
双子	ふたご	noun	twins
親戚	しんせき	noun	relative
隣人	りんじん	noun	neighbor
同僚	どうりょう	noun	coworker
先輩	せんぱい	noun	senior; mentor
後輩	こうはい	noun	junior; protege
恩人	おんじん	noun	benefactor
知人	ちじん	noun	acquaintance
友達	ともだち	noun	friend
女	おんな	noun	woman
男	おとこ	noun	man; male
友	とも	noun	friend (literary/short form)
人々	ひとびと	noun	people
人混み	ひとごみ	noun	crowd
友だち	ともだち	noun	friend
外国人	がいこくじん	noun	foreigner; foreign person
仲間	なかま	noun	companion; teammate; friend (in-group)
人	ひと	noun	person
客	きゃく	noun	customer; guest
敵	てき	noun	enemy
味方	みかた	noun	ally; friend; your side
