kanji	hiragana	type	english
医師	いし	noun	doctor
看護師	かんごし	noun	nurse
消防士	しょうぼうし	noun	firefighter
警察官	けいさつかん	noun	police officer
弁護士	べんごし	noun	lawyer
料理人	りょうりにん	noun	cook; chef
美容師	びようし	noun	hairdresser
運転手	うんてんしゅ	noun	driver
駅員	えきいん	noun	station attendant
研究者	けんきゅうしゃ	noun	researcher
翻訳者	ほんやくしゃ	noun	translator
編集者	へんしゅうしゃ	noun	editor
王	おう	noun	king
師	し	noun	master; teacher
兵士	へいし	noun	soldier
探偵	たんてい	noun	detective
先生	せんせい	noun	teacher; instructor
店員	てんいん	noun	clerk; store staff
探検家	たんけんか	noun	explorer
挑戦者	ちょうせんしゃ	noun	challenger
官僚	かんりょう	noun	bureaucrat; government official
閣僚	かくりょう	noun	cabinet minister
僧侶	そうりょ	noun	monk; Buddhist priest
高僧	こうそう	noun	high priest; eminent monk
俳優	はいゆう	noun	actor; actress
声優	せいゆう	noun	voice actor
博士	はかせ	noun	doctor; PhD; expert
司書	ししょ	noun	librarian
お坊さん	おぼうさん	noun	Buddhist monk; priest
警察	けいさつ	noun	police
幹部	かんぶ	noun	executive; senior staff
車掌	しゃしょう	noun	train conductor
