kanji	hiragana	type	english
港	みなと	noun	harbor
砂浜	すなはま	noun	sandy beach
草原	そうげん	noun	grassland
牧場	ぼくじょう	noun	pasture; ranch
停留所	ていりゅうじょ	noun	bus stop
歩道橋	ほどうきょう	noun	pedestrian bridge
路地	ろじ	noun	alley
広場	ひろば	noun	plaza
団地	だんち	noun	housing complex
遊歩道	ゆうほどう	noun	promenade; walking path
商店街	しょうてんがい	noun	shopping street
地下街	ちかがい	noun	underground shopping area
海外	かいがい	noun	overseas; abroad
地元	じもと	noun	local area; hometown
観光客	かんこうきゃく	noun	tourist
地域	ちいき	noun	region; area
住所	じゅうしょ	noun	address
地図	ちず	noun	map
観光	かんこう	noun	sightseeing
名所	めいしょ	noun	famous place; landmark
場所	ばしょ	noun	place; location
近所	きんじょ	noun	neighborhood; vicinity
王国	おうこく	noun	kingdom
都市	とし	noun	city (urban area)
国	くに	noun	country
町	まち	noun	town; city
村	むら	noun	village
外国	がいこく	noun	foreign country
南口	みなみぐち	noun	south exit/entrance
各地	かくち	noun	every area; various places
区域	くいき	noun	zone; area; section
国境	こっきょう	noun	national border
州	しゅう	noun	state; province
座席	ざせき	noun	seat
敷地	しきち	noun	site; lot; premises
