# Media (Nouns / Technology).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
回数	かいすう	noun	number of times; frequency
視聴	しちょう	noun	viewing; watching
画質	がしつ	noun	image quality; video quality
関連動画	かんれんどうが	noun	related videos
急上昇	きゅうじょうしょう	noun	trending; rapidly rising (in popularity)
大画面	だいがめん	noun	large screen; big display
大型画面	おおがたがめん	noun	large-sized screen
動画	どうが	noun	video; moving image
字幕	じまく	noun	subtitles; captions
自動再生	じどうさいせい	noun	autoplay (automatic playback)
全画面	ぜんがめん	noun	full screen
速度	そくど	noun	speed; playback speed
音量	おんりょう	noun	volume (sound level)
自動回転	じどうかいてん	noun	auto-rotate (screen rotation)
着信音	ちゃくしんおん	noun	ringtone; incoming call sound
画面	がめん	noun	screen
