# Dishes (Nouns / Food).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
もんじゃ	もんじゃ	noun	monjayaki (Tokyo-style griddle dish)
豆腐	とうふ	noun	tofu	[豆: bean | 腐: ferment/rot]
納豆	なっとう	noun	natto	[納: store/settle | 豆: bean]
刺身	さしみ	noun	sashimi	[刺: pierce/stab | 身: body/flesh]
卵焼き	たまごやき	noun	rolled omelet	[卵: egg | 焼: grill/bake]
ゆで卵	ゆでたまご	noun	boiled egg
珍味	ちんみ	noun	delicacy	[珍: rare/curious | 味: flavor/taste]
中華	ちゅうか	noun	Chinese (food/style)	[中: middle/China | 華: splendor/China]
寿司	すし	noun	sushi	[寿: longevity | 司: manage/officer]
味噌汁	みそしる	noun	miso soup	[味: flavor/taste | 噌: (phonetic) | 汁: soup/broth]
焼き鳥	やきとり	noun	yakitori; grilled chicken skewers	[焼: grill/bake | 鳥: bird]
餃子	ぎょうざ	noun	gyoza; dumplings	[餃: dumpling | 子: small/child]
唐揚げ	からあげ	noun	karaage; Japanese fried chicken	[唐: Tang/China | 揚: fry/lift]
揚げ物	あげもの	noun	deep-fried food	[揚: fry/lift | 物: thing]
