# label: Food Loanwords
kanji	hiragana	type	english
プリン	プリン	noun	custard pudding; purin
サンドイッチ	サンドイッチ	noun	sandwich
ハンバーガー	ハンバーガー	noun	hamburger
ミルク	ミルク	noun	milk
ステーキ	ステーキ	noun	steak
スープ	スープ	noun	soup
サラダ	サラダ	noun	salad
デザート	デザート	noun	dessert
アイスクリーム	アイスクリーム	noun	ice cream
ケーキ	ケーキ	noun	cake
クッキー	クッキー	noun	cookie
チップ	チップ	noun	chip; tip
ソース	ソース	noun	sauce
メニュー	メニュー	noun	menu
サービス	サービス	noun	complimentary extra; free item
パン	ぱん	noun	bread
バター	バター	noun	butter
チーズ	チーズ	noun	cheese
ソーセージ	ソーセージ	noun	sausage
ハム	ハム	noun	ham
ベーコン	ベーコン	noun	bacon
コーヒー	コーヒー	noun	coffee
ティー	ティー	noun	tea
アルコール	アルコール	noun	alcohol
ジュース	ジュース	noun	juice
カフェ	カフェ	noun	cafe; coffee shop
ラーメン	ラーメン	noun	ramen
カレー	カレー	noun	curry
ピザ	ピザ	noun	pizza
パスタ	パスタ	noun	pasta
ナッツ	ナッツ	noun	nuts
チョコレート	チョコレート	noun	chocolate
キャンディ	キャンディ	noun	candy
スナック	スナック	noun	snack
ヨーグルト	ヨーグルト	noun	yogurt
ポテト	ポテト	noun	potato; fries
トマト	トマト	noun	tomato
レタス	レタス	noun	lettuce
キャベツ	キャベツ	noun	cabbage
バナナ	バナナ	noun	banana
パイナップル	パイナップル	noun	pineapple
グレープ	グレープ	noun	grape (flavor); grapes
レモン	レモン	noun	lemon
オレンジ	オレンジ	noun	orange
メロン	メロン	noun	melon (honeydew-type)
ブルーベリー	ブルーベリー	noun	blueberry
ライム	ライム	noun	lime
グレープフルーツ	グレープフルーツ	noun	grapefruit
ケチャップ	ケチャップ	noun	ketchup
マヨネーズ	マヨネーズ	noun	mayonnaise
ビール	ビール	noun	beer
ワイン	ワイン	noun	wine
