# Relative (Nouns / Time).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
最近	さいきん	noun	recently; lately
休み	やすみ	noun	rest; holiday; break
次	つぎ	noun	next
昔	むかし	noun	old times; long ago
ころ	ころ	noun	around; about that time
食後	しょくご	noun	after a meal
未来	みらい	noun	future
今回	こんかい	noun	this time
過去	かこ	noun	the past
現在	げんざい	noun	the present; current time/status
古代	こだい	noun	ancient times; antiquity
最後	さいご	noun	last; end
最初	さいしょ	noun	first; beginning
久々	ひさびさ	noun	after a long time
昨年	さくねん	noun	last year
昨夜	さくや	noun	last night
