# label: 〜台 (machines/vehicles)
# Counter 〜台 (machines/vehicles) — counts machines/vehicles.
# Fully regular — no sound changes.
kanji	hiragana	type	english
一台	いちだい	counter	1 machines/vehicles
二台	にだい	counter	2 machines/vehicles
三台	さんだい	counter	3 machines/vehicles
四台	よんだい	counter	4 machines/vehicles
五台	ごだい	counter	5 machines/vehicles
六台	ろくだい	counter	6 machines/vehicles
七台	ななだい	counter	7 machines/vehicles
八台	はちだい	counter	8 machines/vehicles
九台	きゅうだい	counter	9 machines/vehicles
十台	じゅうだい	counter	10 machines/vehicles
十一台	じゅういちだい	counter	11 machines/vehicles
十二台	じゅうにだい	counter	12 machines/vehicles
十三台	じゅうさんだい	counter	13 machines/vehicles
十四台	じゅうよんだい	counter	14 machines/vehicles
十五台	じゅうごだい	counter	15 machines/vehicles
十六台	じゅうろくだい	counter	16 machines/vehicles
十七台	じゅうななだい	counter	17 machines/vehicles
十八台	じゅうはちだい	counter	18 machines/vehicles
十九台	じゅうきゅうだい	counter	19 machines/vehicles
二十台	にじゅうだい	counter	20 machines/vehicles
