# label: 〜分 (minutes)
# Counter 〜分 (minutes) — counts minutes.
# Irregular: 1 いっぷん, 3 さんぷん, 4 よんぷん, 6 ろっぷん, 8 はっぷん, 10 じゅっぷん.
kanji	hiragana	type	english
一分	いっぷん	counter	1 minutes
二分	にふん	counter	2 minutes
三分	さんぷん	counter	3 minutes
四分	よんぷん	counter	4 minutes
五分	ごふん	counter	5 minutes
六分	ろっぷん	counter	6 minutes
七分	ななふん	counter	7 minutes
八分	はっぷん	counter	8 minutes
九分	きゅうふん	counter	9 minutes
十分	じゅっぷん	counter	10 minutes
十一分	じゅういっぷん	counter	11 minutes
十二分	じゅうにふん	counter	12 minutes
十三分	じゅうさんぷん	counter	13 minutes
十四分	じゅうよんぷん	counter	14 minutes
十五分	じゅうごふん	counter	15 minutes
十六分	じゅうろっぷん	counter	16 minutes
十七分	じゅうななふん	counter	17 minutes
十八分	じゅうはっぷん	counter	18 minutes
十九分	じゅうきゅうふん	counter	19 minutes
二十分	にじゅっぷん	counter	20 minutes
