# label: 〜回 (times)
# Counter 〜回 (times) — counts times/occurrences.
# Irregular: 1 いっかい, 6 ろっかい, 8 はっかい, 10 じゅっかい.
kanji	hiragana	type	english
一回	いっかい	counter	1 times/occurrences
二回	にかい	counter	2 times/occurrences
三回	さんかい	counter	3 times/occurrences
四回	よんかい	counter	4 times/occurrences
五回	ごかい	counter	5 times/occurrences
六回	ろっかい	counter	6 times/occurrences
七回	ななかい	counter	7 times/occurrences
八回	はっかい	counter	8 times/occurrences
九回	きゅうかい	counter	9 times/occurrences
十回	じゅっかい	counter	10 times/occurrences
十一回	じゅういっかい	counter	11 times/occurrences
十二回	じゅうにかい	counter	12 times/occurrences
十三回	じゅうさんかい	counter	13 times/occurrences
十四回	じゅうよんかい	counter	14 times/occurrences
十五回	じゅうごかい	counter	15 times/occurrences
十六回	じゅうろっかい	counter	16 times/occurrences
十七回	じゅうななかい	counter	17 times/occurrences
十八回	じゅうはっかい	counter	18 times/occurrences
十九回	じゅうきゅうかい	counter	19 times/occurrences
二十回	にじゅっかい	counter	20 times/occurrences
