# label: 〜個 (small objects)
# Counter 〜個 (small objects) — counts small objects.
# Irregular: 1 いっこ, 6 ろっこ, 8 はっこ, 10 じゅっこ (repeats at 11-, 20).
kanji	hiragana	type	english
一個	いっこ	counter	1 small objects
二個	にこ	counter	2 small objects
三個	さんこ	counter	3 small objects
四個	よんこ	counter	4 small objects
五個	ごこ	counter	5 small objects
六個	ろっこ	counter	6 small objects
七個	ななこ	counter	7 small objects
八個	はっこ	counter	8 small objects
九個	きゅうこ	counter	9 small objects
十個	じゅっこ	counter	10 small objects
十一個	じゅういっこ	counter	11 small objects
十二個	じゅうにこ	counter	12 small objects
十三個	じゅうさんこ	counter	13 small objects
十四個	じゅうよんこ	counter	14 small objects
十五個	じゅうごこ	counter	15 small objects
十六個	じゅうろっこ	counter	16 small objects
十七個	じゅうななこ	counter	17 small objects
十八個	じゅうはっこ	counter	18 small objects
十九個	じゅうきゅうこ	counter	19 small objects
二十個	にじゅっこ	counter	20 small objects
