# label: 〜枚 (flat objects)
# Counter 〜枚 (flat objects) — counts flat objects.
# Fully regular — no sound changes.
kanji	hiragana	type	english
一枚	いちまい	counter	1 flat objects
二枚	にまい	counter	2 flat objects
三枚	さんまい	counter	3 flat objects
四枚	よんまい	counter	4 flat objects
五枚	ごまい	counter	5 flat objects
六枚	ろくまい	counter	6 flat objects
七枚	ななまい	counter	7 flat objects
八枚	はちまい	counter	8 flat objects
九枚	きゅうまい	counter	9 flat objects
十枚	じゅうまい	counter	10 flat objects
十一枚	じゅういちまい	counter	11 flat objects
十二枚	じゅうにまい	counter	12 flat objects
十三枚	じゅうさんまい	counter	13 flat objects
十四枚	じゅうよんまい	counter	14 flat objects
十五枚	じゅうごまい	counter	15 flat objects
十六枚	じゅうろくまい	counter	16 flat objects
十七枚	じゅうななまい	counter	17 flat objects
十八枚	じゅうはちまい	counter	18 flat objects
十九枚	じゅうきゅうまい	counter	19 flat objects
二十枚	にじゅうまい	counter	20 flat objects
