# label: 〜割 (10% units)
# Counter 〜割 (10% units) — counts tenths (10% units).
# Percentage/proportion units; 十割 = 100%. Fully regular.
kanji	hiragana	type	english
一割	いちわり	counter	1 tenths (10% units)
二割	にわり	counter	2 tenths (10% units)
三割	さんわり	counter	3 tenths (10% units)
四割	よんわり	counter	4 tenths (10% units)
五割	ごわり	counter	5 tenths (10% units)
六割	ろくわり	counter	6 tenths (10% units)
七割	ななわり	counter	7 tenths (10% units)
八割	はちわり	counter	8 tenths (10% units)
九割	きゅうわり	counter	9 tenths (10% units)
十割	じゅうわり	counter	10 tenths (10% units)
