# Wards (区) — Tokyo special wards and designated-city wards.
# Belongs here: 〜区 ward names, kept separate from cities so the 区 vs 市
# distinction is clear. These are Tokyo's 23 special wards (the most familiar).
kanji	hiragana	type	english
渋谷区	しぶやく	proper-noun	Shibuya Ward
新宿区	しんじゅくく	proper-noun	Shinjuku Ward
港区	みなとく	proper-noun	Minato Ward
千代田区	ちよだく	proper-noun	Chiyoda Ward
中央区	ちゅうおうく	proper-noun	Chuo Ward
品川区	しながわく	proper-noun	Shinagawa Ward
目黒区	めぐろく	proper-noun	Meguro Ward
世田谷区	せたがやく	proper-noun	Setagaya Ward
台東区	たいとうく	proper-noun	Taito Ward
文京区	ぶんきょうく	proper-noun	Bunkyo Ward
豊島区	としまく	proper-noun	Toshima Ward
大田区	おおたく	proper-noun	Ota Ward
江東区	こうとうく	proper-noun	Koto Ward
中野区	なかのく	proper-noun	Nakano Ward
杉並区	すぎなみく	proper-noun	Suginami Ward
