# label: Given Names
# Japanese given names (名) — common male and female first names.
# Belongs here: personal first names only. Family names go in last-names.tsv.
# Don't add 〜さん honorific forms — the bare name is the entry.
kanji	hiragana	type	english
太郎	たろう	proper-noun	Taro (male given name)
健太	けんた	proper-noun	Kenta (male given name)
亮	りょう	proper-noun	Ryo (male given name)
翔	しょう	proper-noun	Sho (male given name)
翔太	しょうた	proper-noun	Shota (male given name)
大輝	だいき	proper-noun	Daiki (male given name)
大輔	だいすけ	proper-noun	Daisuke (male given name)
拓也	たくや	proper-noun	Takuya (male given name)
健一	けんいち	proper-noun	Kenichi (male given name)
直樹	なおき	proper-noun	Naoki (male given name)
誠	まこと	proper-noun	Makoto (male given name)
浩	ひろし	proper-noun	Hiroshi (male given name)
隆	たかし	proper-noun	Takashi (male given name)
和也	かずや	proper-noun	Kazuya (male given name)
裕太	ゆうた	proper-noun	Yuta (male given name)
颯太	そうた	proper-noun	Sota (male given name)
悠斗	ゆうと	proper-noun	Yuto (male given name)
蓮	れん	proper-noun	Ren (male given name)
陸	りく	proper-noun	Riku (male given name)
大和	やまと	proper-noun	Yamato (male given name)
美咲	みさき	proper-noun	Misaki (female given name)
さくら	さくら	proper-noun	Sakura (female given name)
花子	はなこ	proper-noun	Hanako (female given name)
陽菜	ひな	proper-noun	Hina (female given name)
愛	あい	proper-noun	Ai (female given name)
彩	あや	proper-noun	Aya (female given name)
舞	まい	proper-noun	Mai (female given name)
結衣	ゆい	proper-noun	Yui (female given name)
美穂	みほ	proper-noun	Miho (female given name)
裕子	ゆうこ	proper-noun	Yuko (female given name)
恵子	けいこ	proper-noun	Keiko (female given name)
直子	なおこ	proper-noun	Naoko (female given name)
由美	ゆみ	proper-noun	Yumi (female given name)
真由美	まゆみ	proper-noun	Mayumi (female given name)
七海	ななみ	proper-noun	Nanami (female given name)
葵	あおい	proper-noun	Aoi (female given name)
凛	りん	proper-noun	Rin (female given name)
莉子	りこ	proper-noun	Riko (female given name)
美月	みづき	proper-noun	Mizuki (female given name)
香織	かおり	proper-noun	Kaori (female given name)
