# label: Wards
# Wards (区) — Tokyo special wards and designated-city wards.
# Belongs here: 〜区 ward names, kept separate from cities so the 区 vs 市
# distinction is clear. These are Tokyo's 23 special wards (the most familiar).
kanji	hiragana	type	english	breakdown
渋谷区	しぶやく	proper-noun	Shibuya Ward	[渋: astringent | 谷: valley | 区: ward]
新宿区	しんじゅくく	proper-noun	Shinjuku Ward	[新: new | 宿: lodge | 区: ward]
港区	みなとく	proper-noun	Minato Ward	[港: harbor | 区: ward]
千代田区	ちよだく	proper-noun	Chiyoda Ward	[千: thousand | 代: generation/era | 田: rice field | 区: ward]
中央区	ちゅうおうく	proper-noun	Chuo Ward	[中: middle | 央: center | 区: ward]
品川区	しながわく	proper-noun	Shinagawa Ward	[品: goods/refinement | 川: river | 区: ward]
目黒区	めぐろく	proper-noun	Meguro Ward	[目: eye | 黒: black | 区: ward]
世田谷区	せたがやく	proper-noun	Setagaya Ward	[世: world/generation | 田: rice field | 谷: valley | 区: ward]
台東区	たいとうく	proper-noun	Taito Ward	[台: platform/stand | 東: east | 区: ward]
文京区	ぶんきょうく	proper-noun	Bunkyo Ward	[文: writing/culture | 京: capital | 区: ward]
豊島区	としまく	proper-noun	Toshima Ward	[豊: abundant | 島: island | 区: ward]
大田区	おおたく	proper-noun	Ota Ward	[大: big | 田: rice field | 区: ward]
江東区	こうとうく	proper-noun	Koto Ward	[江: inlet/bay | 東: east | 区: ward]
中野区	なかのく	proper-noun	Nakano Ward	[中: middle | 野: field | 区: ward]
杉並区	すぎなみく	proper-noun	Suginami Ward	[杉: cedar | 並: line up/row | 区: ward]
