# Countries (国名).
# Belongs here: country names (日本, アメリカ, ギリシャ). Foreign cities and
# regions go in world-places.tsv. Most are katakana loanwords.
kanji	hiragana	type	english	breakdown
日本	にほん	proper-noun	Japan	[日: sun/Japan | 本: origin/base]
アメリカ	アメリカ	proper-noun	United States
中国	ちゅうごく	proper-noun	China	[中: middle | 国: country]
韓国	かんこく	proper-noun	South Korea	[韓: Korea | 国: country]
イギリス	イギリス	proper-noun	United Kingdom
フランス	フランス	proper-noun	France
ドイツ	ドイツ	proper-noun	Germany
イタリア	イタリア	proper-noun	Italy
スペイン	スペイン	proper-noun	Spain
ロシア	ロシア	proper-noun	Russia
インド	インド	proper-noun	India
カナダ	カナダ	proper-noun	Canada
オーストラリア	オーストラリア	proper-noun	Australia
ブラジル	ブラジル	proper-noun	Brazil
ギリシャ	ギリシャ	proper-noun	Greece
エジプト	エジプト	proper-noun	Egypt
英国	えいこく	proper-noun	the United Kingdom; Britain	[英: England/excellent | 国: country]
