# Places — buildings and locations around town. The definite article shows gender.
spanish	type	english
la ciudad	noun	city
el pueblo	noun	town; village
la calle	noun	street
la tienda	noun	store; shop
la escuela	noun	school
el hospital	noun	hospital
el banco	noun	bank
la iglesia	noun	church
el parque	noun	park
la playa	noun	beach
el mercado	noun	market
el restaurante	noun	restaurant
la biblioteca	noun	library
el aeropuerto	noun	airport
la oficina	noun	office
el país	noun	country
el mundo	noun	world
