# Cardinal numbers — counting. The teens/twenties show the pattern; tens and the
# big round numbers cover the rest.
spanish	type	english
cero	number	zero
uno	number	one
dos	number	two
tres	number	three
cuatro	number	four
cinco	number	five
seis	number	six
siete	number	seven
ocho	number	eight
nueve	number	nine
diez	number	ten
once	number	eleven
doce	number	twelve
trece	number	thirteen
catorce	number	fourteen
quince	number	fifteen
veinte	number	twenty
treinta	number	thirty
cuarenta	number	forty
cincuenta	number	fifty
cien	number	one hundred
mil	number	one thousand
millón	number	one million
