# Regular -ar verbs (1st conjugation), dictionary/infinitive form.
# Stem-changing or irregular -ar verbs (pensar, jugar...) go in irregular.tsv.
spanish	type	english
hablar	verb	to speak; to talk
trabajar	verb	to work
estudiar	verb	to study
comprar	verb	to buy
caminar	verb	to walk
cocinar	verb	to cook
cantar	verb	to sing
bailar	verb	to dance
escuchar	verb	to listen
mirar	verb	to look; to watch
llamar	verb	to call
tomar	verb	to take; to drink
llegar	verb	to arrive
llevar	verb	to carry; to wear
necesitar	verb	to need
usar	verb	to use
viajar	verb	to travel
preguntar	verb	to ask
contestar	verb	to answer
ayudar	verb	to help
