# Irregular & stem-changing verbs — the high-frequency ones that don't follow
# the plain -ar/-er/-ir patterns. Dictionary/infinitive form.
spanish	type	english
ser	verb	to be (permanent)
estar	verb	to be (state; location)
ir	verb	to go
tener	verb	to have
hacer	verb	to do; to make
poder	verb	to be able; can
querer	verb	to want; to love
saber	verb	to know (facts)
conocer	verb	to know; to meet (people)
ver	verb	to see
dar	verb	to give
decir	verb	to say; to tell
venir	verb	to come
poner	verb	to put; to place
salir	verb	to leave; to go out
traer	verb	to bring
pensar	verb	to think
volver	verb	to return; to come back
dormir	verb	to sleep
jugar	verb	to play
empezar	verb	to begin; to start
entender	verb	to understand
pedir	verb	to ask for; to order
sentir	verb	to feel
encontrar	verb	to find
