# Reflexive verbs (-se), dictionary/infinitive form — the action falls on the
# subject (daily-routine verbs are mostly here).
spanish	type	english
levantarse	verb	to get up
acostarse	verb	to go to bed
ducharse	verb	to take a shower
vestirse	verb	to get dressed
lavarse	verb	to wash oneself
llamarse	verb	to be called; to be named
sentarse	verb	to sit down
despertarse	verb	to wake up
peinarse	verb	to comb one's hair
divertirse	verb	to have fun
casarse	verb	to get married
quedarse	verb	to stay; to remain
irse	verb	to leave; to go away
ponerse	verb	to put on; to become
