# label: The Beginning (ONE OK ROCK)
# The Japanese lines of blob.txt only (English lyric lines and section tags
# stay in the blob). One row per line, in order of first appearance — repeated
# chorus lines are listed once. Columns: japanese / english.
japanese	english
でも譲れないもの	But there are things I won't give up
握ったこの手は離さない	I won't let go of this hand I've grasped
狂おしいほど刹那の艶麗	A fleeting beauty, maddening enough to drive you wild
愁いを含んだ閃光 眼光は感覚的衝動	A flash laced with sorrow; my piercing gaze, a sensory impulse
何もないように映ってるだけ	It only appears as though there is nothing
ただ隠せないもの	Yet there are things I simply can't hide
飾ったように見せかけてる	Putting on a show, as if all dressed up
悲しみと切なさの艶麗	The beauty of sadness and aching longing
くだけて泣いて咲いて散った この思いは	Shattered, weeping, blooming, scattered — these feelings of mine
このままじゃ まだ終わらせる事は出来ないでしょ？	I can't let it end like this just yet, can I?
何度くたばりそうでも	No matter how many times I feel ready to drop dead
朽ち果てようとも 終わりはないさ	Even if I rot away, there is no end
握りしめた 失わぬようにと	I clenched it tight, so as not to lose it
手を広げれば こぼれ落ちそうで	If I open my hand, it feels like it'll spill away
失うものなどなかった 日々の惰性を捨てて	Casting off the inertia of days when I had nothing to lose
君を	...you
