# Godan verbs — bu ending.
# Godan verbs ending in 〜ぶ (遊ぶ, 飛ぶ, 呼ぶ…). Dictionary forms only.
kanji	hiragana	type	english
聞き及ぶ	ききおよぶ	godan-verb	to hear reports; to reach one's ears
泣き叫ぶ	なきさけぶ	godan-verb	to cry out; to scream while crying
遊ぶ	あそぶ	godan-verb	to play; to hang out; to have fun
飛ぶ	とぶ	godan-verb	to fly; to jump; to go fast (e.g., time passes quickly)
呼ぶ	よぶ	godan-verb	to call; to invite; to name
運ぶ	はこぶ	godan-verb	to carry; to transport; to move (something)
選ぶ	えらぶ	godan-verb	to choose; to select
喜ぶ	よろこぶ	godan-verb	to be happy; to be delighted
学ぶ	まなぶ	godan-verb	to learn; to study
転ぶ	ころぶ	godan-verb	to fall down; to trip
並ぶ	ならぶ	godan-verb	to be lined up
及ぶ	およぶ	godan-verb	to reach; to extend to
叫ぶ	さけぶ	godan-verb	to shout; to cry out
