# Godan verbs — ku ending.
# Godan verbs ending in 〜く (書く, 聞く, 歩く…). Dictionary forms only.
kanji	hiragana	type	english
食べ歩く	たべあるく	godan-verb	to eat one's way around (restaurants)
飲み歩く	のみあるく	godan-verb	to drink and go around (bar hopping)
聞く	きく	godan-verb	to ask; to hear
書く	かく	godan-verb	to write
空く	あく	godan-verb	to become empty; to be vacant
開く（あく）	あく	godan-verb	to open; to become open (intransitive)
行く	いく	godan-verb	to go
歩く	あるく	godan-verb	to walk
開く（ひらく）	ひらく	godan-verb	to open; to hold (an event)
置く	おく	godan-verb	to put; to place
着く	つく	godan-verb	to arrive
付く	つく	godan-verb	to be attached; to stick
続く	つづく	godan-verb	to continue
働く	はたらく	godan-verb	to work
届く	とどく	godan-verb	to reach; to be delivered
泣く	なく	godan-verb	to cry
焼く	やく	godan-verb	to bake; to grill; to burn
叩く	たたく	godan-verb	to hit; to strike
解く	とく	godan-verb	to solve; to untie
効く	きく	godan-verb	to be effective
磨く	みがく	godan-verb	to polish; to brush
咲く	さく	godan-verb	to bloom
抱く	だく	godan-verb	to hug; to hold
描く	えがく	godan-verb	to draw; to depict; to picture
近づく	ちかづく	godan-verb	to approach; to get near
気づく	きづく	godan-verb	to notice; to realize
落ち着く	おちつく	godan-verb	to calm down; to settle down
むく	むく	godan-verb	to peel
傷つく	きずつく	godan-verb	to be hurt; to get wounded
履く	はく	godan-verb	to wear (footwear, pants)
抜く	ぬく	godan-verb	to pull out; to extract
挽く	ひく	godan-verb	to grind (coffee, meat)
敷く	しく	godan-verb	to spread out; to lay (bedding)
沸く	わく	godan-verb	to boil; to grow excited
炊く	たく	godan-verb	to cook (rice); to boil
築く	きずく	godan-verb	to build; to construct; to establish
裁く	さばく	godan-verb	to judge; to pass judgment
輝く	かがやく	godan-verb	to shine; to sparkle; to glitter
響く	ひびく	godan-verb	to resound; to echo
吹く	ふく	godan-verb	to blow (wind/breath)
