# Godan verbs — ru ending.
# Godan verbs ending in 〜る (送る, 上がる, 帰る…). Note: ichidan verbs also end in る — these are godan. Dictionary forms only.
kanji	hiragana	type	english
濁る	にごる	godan-verb	to become muddy; cloudy
送る	おくる	godan-verb	to send
見送る	みおくる	godan-verb	to see off; to postpone
上がる	あがる	godan-verb	to rise; to go up
生きる	いきる	godan-verb	to live
語る	かたる	godan-verb	to narrate; to talk about
下がる	さがる	godan-verb	to fall; to go down; to step back
名乗る	なのる	godan-verb	to give one's name; to introduce oneself
割り振る	わりふる	godan-verb	to allocate; to distribute
立ち去る	たちさる	godan-verb	to leave; to depart
聞き取る	ききとる	godan-verb	to catch (what someone says)
見切る	みきる	godan-verb	to give up on; to judge/decide (from context)
立ち寄る	たちよる	godan-verb	to drop by; to stop by
持ち上がる	もちあがる	godan-verb	to be raised; to come up (issue/event)
探し回る	さがしまわる	godan-verb	to search all over
探り回る	さぐりまわる	godan-verb	to probe around; to snoop around
歩き回る	あるきまわる	godan-verb	to walk around; go around
飛び回る	とびまわる	godan-verb	to fly/visit around; go around (frequently)
駆け回る	かけまわる	godan-verb	to run about; run around
光る	ひかる	godan-verb	to shine; to glitter
入る	はいる	godan-verb	to enter; to go in
分かる	わかる	godan-verb	to understand; to know
集まる	あつまる	godan-verb	to gather; to collect (intrans.)
謝る	あやまる	godan-verb	to apologize
伸びきる	のびきる	godan-verb	to stretch completely; to reach full extension
怖がる	こわがる	godan-verb	to be afraid (of); to show fear
舞い上がる	まいあがる	godan-verb	to soar; to rise up
なる	なる	godan-verb	to become
ある	ある	godan-verb	to exist; there is
こわがる	こわがる	godan-verb	to be afraid of
走る	はしる	godan-verb	to run
売る	うる	godan-verb	to sell
眠る	ねむる	godan-verb	to sleep
乗る	のる	godan-verb	to ride; to get on
帰る	かえる	godan-verb	to return home
ぶつかる	ぶつかる	godan-verb	to bump into; to collide
回る	まわる	godan-verb	to turn; to go around; to rotate
行きたがる	いきたがる	godan-verb	to want to go (third-person desire)
作る	つくる	godan-verb	to make
取る	とる	godan-verb	to take; to get (a prize)
終わる	おわる	godan-verb	to finish
切る	きる	godan-verb	to cut
探る	さぐる	godan-verb	to probe; to investigate
上る	のぼる	godan-verb	to go up; to climb
通る	とおる	godan-verb	to pass through; to go along
配る	くばる	godan-verb	to hand out; to distribute
黙る	だまる	godan-verb	to fall silent; to keep quiet
止まる	とまる	godan-verb	to stop
高くなる	たかくなる	godan-verb	to become high/tall/expensive
便利になる	べんりになる	godan-verb	to become convenient
有名になる	ゆうめいになる	godan-verb	to become famous
静かになる	しずかになる	godan-verb	to become quiet
大変になる	たいへんになる	godan-verb	to become serious; tough
安くなる	やすくなる	godan-verb	to become cheap
新しくなる	あたらしくなる	godan-verb	to become new
古くなる	ふるくなる	godan-verb	to become old
写る	うつる	godan-verb	to be photographed; to come out (in a photo)
刷る	する	godan-verb	to print
塗る	ぬる	godan-verb	to paint; to spread on; to coat
座る	すわる	godan-verb	to sit; to take a seat
彩る	いろどる	godan-verb	to color; to decorate
怒る	おこる	godan-verb	to get angry
怒鳴る	どなる	godan-verb	to shout; to yell at
戻る	もどる	godan-verb	to return; to go back
振る	ふる	godan-verb	to wave; to shake; to swing
捕まる	つかまる	godan-verb	to be caught; to be arrested
掛かる	かかる	godan-verb	to take (time/money); to hang; to be caught
操る	あやつる	godan-verb	to manipulate; to operate; to handle
散る	ちる	godan-verb	to scatter; to fall (petals)
散らかる	ちらかる	godan-verb	to be scattered; to be in a mess
昇る	のぼる	godan-verb	to rise (sun); to ascend
曇る	くもる	godan-verb	to become cloudy; to cloud over
泊まる	とまる	godan-verb	to stay overnight; to lodge
滑る	すべる	godan-verb	to slip; to slide; to glide
募る	つのる	godan-verb	to grow intense; to recruit
狩る	かる	godan-verb	to hunt
狭まる	せばまる	godan-verb	to narrow; to close in
異なる	ことなる	godan-verb	to differ; to vary
破る	やぶる	godan-verb	to tear; to break; to defeat
守る	まもる	godan-verb	to protect; to keep (a promise)
締まる	しまる	godan-verb	to be shut; to be tightened
