# Godan verbs — su ending.
# Godan verbs ending in 〜す (話す, 出す, 返す…). Dictionary forms only.
kanji	hiragana	type	english
促す	うながす	godan-verb	to urge; to prompt
話す	はなす	godan-verb	to talk
外す	はずす	godan-verb	to remove; to take off; to unfasten
書き直す	かきなおす	godan-verb	to rewrite; to correct writing
聞き直す	ききなおす	godan-verb	to ask again; to check by asking
見直す	みなおす	godan-verb	to review; to reconsider
書き足す	かきたす	godan-verb	to add writing; to add a note
飛び出す	とびだす	godan-verb	to jump out; to rush out
逃げ出す	にげだす	godan-verb	to run away; to escape
引き返す	ひきかえす	godan-verb	to go back; to return
切り落とす	きりおとす	godan-verb	to cut off; to cut away
聞き逃す	ききのがす	godan-verb	to miss hearing; to fail to catch (audio)
取り戻す	とりもどす	godan-verb	to take back; regain
持ち出す	もちだす	godan-verb	to take out; bring out
聞き返す	ききかえす	godan-verb	to ask someone to repeat; to ask back
読み返す	よみかえす	godan-verb	to reread; to read again
繰り出す	くりだす	godan-verb	to unleash; to send out
溢れ出す	あふれだす	godan-verb	to overflow; to pour out
ぶちかます	ぶちかます	godan-verb	to smash into; to let loose
刺す	さす	godan-verb	to sting; to stab
押す	おす	godan-verb	to push; to press
回す	まわす	godan-verb	to turn; to spin; to rotate something
探す	さがす	godan-verb	to search; to look for
過ごす	すごす	godan-verb	to spend (time); to pass
写す	うつす	godan-verb	to copy; to photograph
剥がす	はがす	godan-verb	to peel off; to tear off
壊す	こわす	godan-verb	to break; to destroy
崩す	くずす	godan-verb	to break down; to demolish
干す	ほす	godan-verb	to dry; to air out
戻す	もどす	godan-verb	to put back; to return (something)
放す	はなす	godan-verb	to release; to let go
暮らす	くらす	godan-verb	to live; to get by
照らす	てらす	godan-verb	to shine on; to illuminate
甘やかす	あまやかす	godan-verb	to spoil; to pamper (a child)
侵す	おかす	godan-verb	to invade; to violate; to encroach
繰り返す	くりかえす	godan-verb	to repeat; to do over again
蒸す	むす	godan-verb	to steam; to be humid
治す	なおす	godan-verb	to cure; to heal
覆す	くつがえす	godan-verb	to overturn; to overthrow
追い越す	おいこす	godan-verb	to overtake; to pass
犯す	おかす	godan-verb	to commit (a crime); to violate
伸ばす	のばす	godan-verb	to extend; to stretch; to grow
