# label: Change & State
# Intransitive ichidan of spontaneous change of state, existence, and
# occurrence (消える, 壊れる, 増える, できる…).
kanji	hiragana	type	english	breakdown
消える	きえる	ichidan-verb	to go out (a light/fire); to disappear	[消: disappear/go out]
足りる	たりる	ichidan-verb	to be enough; to be sufficient	[足: suffice/foot]
伸びる	のびる	ichidan-verb	to grow; to stretch; to improve; to extend	[伸: grow/stretch]
似る	にる	ichidan-verb	to resemble; to look like	[似: resemble]
汚れる	よごれる	ichidan-verb	to get dirty; to be stained	[汚: get dirty/filthy]
壊れる	こわれる	ichidan-verb	to break; to be broken	[壊: break]
生まれる	うまれる	ichidan-verb	to be born	[生: be born/life]
取れる	とれる	ichidan-verb	to come off; to be removed; to be obtained/caught	[取: come off/take]
化ける	ばける	ichidan-verb	to transform; to disguise oneself	[化: transform/change]
ほどける	ほどける	ichidan-verb	to come undone; to get untied
外れる	はずれる	ichidan-verb	to come off; to be disconnected; to miss	[外: come off/outside]
増える	ふえる	ichidan-verb	to increase	[増: increase]
すぎる	すぎる	ichidan-verb	to exceed; to be too much
剥がれる	はがれる	ichidan-verb	to peel off; to come off	[剥: peel/come off]
崩れる	くずれる	ichidan-verb	to collapse; to crumble	[崩: collapse/crumble]
慣れる	なれる	ichidan-verb	to get used to; to become accustomed	[慣: get used to/accustom]
滅びる	ほろびる	ichidan-verb	to perish; to die out	[滅: perish/die out]
乱れる	みだれる	ichidan-verb	to be disordered; to be disturbed	[乱: be disordered/disturbed]
溢れる	あふれる	ichidan-verb	to overflow; to brim with	[溢: overflow]
破れる	やぶれる	ichidan-verb	to be torn; to wear out	[破: be torn/break]
裂ける	さける	ichidan-verb	to split; to tear (intransitive)	[裂: split/tear]
晴れる	はれる	ichidan-verb	to clear up; to become sunny	[晴: clear up/become sunny]
欠ける	かける	ichidan-verb	to be lacking; to be missing; to chip	[欠: be lacking/missing]
透ける	すける	ichidan-verb	to be transparent; to show through	[透: be transparent/show through]
いる	いる	ichidan-verb	to exist (animate); to be (someone is here)
できる	できる	ichidan-verb	to be able to; can do; to be made; to be completed
居る	いる	ichidan-verb	to exist; to be present (animate)	[居: reside/be present]
更ける	ふける	ichidan-verb	to grow late (night)	[更: grow late/renew]
