# label: Motion & Position
# Intransitive ichidan of movement and change of location (出る, 落ちる,
# 離れる, 逃げる…).
kanji	hiragana	type	english	breakdown
起きる	おきる	ichidan-verb	to wake up; to get up	[起: get up/rise]
出る	でる	ichidan-verb	to go out; to leave; to come out; to appear	[出: go out/exit]
降りる	おりる	ichidan-verb	to get off (a train/bus); to go down; to descend	[降: get off/descend]
落ちる	おちる	ichidan-verb	to fall; to drop; to go down (price); to fail (an exam)	[落: fall/drop]
過ぎる	すぎる	ichidan-verb	to pass; to exceed; to be too much	[過: pass/exceed]
離れる	はなれる	ichidan-verb	to move away; to leave	[離: separate/leave]
下りる	おりる	ichidan-verb	to go down; to descend	[下: go down/descend]
逃げる	にげる	ichidan-verb	to escape; to flee	[逃: escape/flee]
抜ける	ぬける	ichidan-verb	to come out; to slip out; to be missing	[抜: come out/slip out]
跳ねる	はねる	ichidan-verb	to bounce; to hop; to splash	[跳: bounce/hop]
超える	こえる	ichidan-verb	to exceed; to surpass	[超: exceed/surpass]
遅れる	おくれる	ichidan-verb	to be late; to fall behind	[遅: be late/slow]
流れる	ながれる	ichidan-verb	to flow; to stream; to drift	[流: flow/stream]
駆ける	かける	ichidan-verb	to run; to gallop; to rush	[駆: run/gallop]
