# label: Ichidan Verbs (Simple)
# Single-stem ichidan (一段) verbs — 食べる, 見る, 考える… Dictionary forms only;
# verb+verb / noun+verb compounds live in compound.tsv; conjugations in
# grammar-pattern/verb-conjugation.
kanji	hiragana	type	english	breakdown
見る	みる	ichidan-verb	to see; to look	[見: see/look]
起きる	おきる	ichidan-verb	to wake up; to get up	[起: get up/rise]
寝る	ねる	ichidan-verb	to sleep; to go to bed	[寝: sleep/lie down]
着る	きる	ichidan-verb	to wear (on the upper body); to put on	[着: wear/put on]
出る	でる	ichidan-verb	to go out; to leave; to come out; to appear	[出: go out/exit]
食べる	たべる	ichidan-verb	to eat	[食: eat/food]
開ける	あける	ichidan-verb	to open (a door/window/container)	[開: open]
空ける	あける	ichidan-verb	to make empty; to vacate; to clear (space/time)	[空: empty/vacate]
閉める	しめる	ichidan-verb	to close (something)	[閉: close/shut]
消える	きえる	ichidan-verb	to go out (a light/fire); to disappear	[消: disappear/go out]
変える	かえる	ichidan-verb	to change (something); to alter	[変: change]
考える	かんがえる	ichidan-verb	to think; to consider	[考: think/consider]
覚える	おぼえる	ichidan-verb	to remember; to memorize; to learn	[覚: remember/sense]
忘れる	わすれる	ichidan-verb	to forget	[忘: forget]
教える	おしえる	ichidan-verb	to teach; to tell	[教: teach]
借りる	かりる	ichidan-verb	to borrow; to rent	[借: borrow/rent]
浴びる	あびる	ichidan-verb	to bathe in; to take (a shower); to receive (criticism, etc.)	[浴: bathe]
迎える	むかえる	ichidan-verb	to pick up; to welcome; to receive	[迎: welcome/receive]
答える	こたえる	ichidan-verb	to answer; to reply	[答: answer/reply]
伝える	つたえる	ichidan-verb	to convey; to tell; to pass on (a message)	[伝: convey/transmit]
調べる	しらべる	ichidan-verb	to check; to investigate; to look up	[調: investigate/check]
比べる	くらべる	ichidan-verb	to compare	[比: compare]
見せる	みせる	ichidan-verb	to show; to let (someone) see	[見: see/show]
決める	きめる	ichidan-verb	to decide	[決: decide]
始める	はじめる	ichidan-verb	to begin	[始: begin/start]
終える	おえる	ichidan-verb	to finish; to end; to complete	[終: end/finish]
続ける	つづける	ichidan-verb	to continue; to keep doing	[続: continue]
認める	みとめる	ichidan-verb	to recognize; to admit; to approve	[認: recognize/admit]
褒める	ほめる	ichidan-verb	to praise; to compliment	[褒: praise]
育てる	そだてる	ichidan-verb	to raise; to grow; to bring up (a child)	[育: raise/grow]
捨てる	すてる	ichidan-verb	to throw away; to discard	[捨: throw away/discard]
集める	あつめる	ichidan-verb	to collect; to gather	[集: collect/gather]
受ける	うける	ichidan-verb	to receive; to take (a test); to accept	[受: receive]
降りる	おりる	ichidan-verb	to get off (a train/bus); to go down; to descend	[降: get off/descend]
落ちる	おちる	ichidan-verb	to fall; to drop; to go down (price); to fail (an exam)	[落: fall/drop]
足りる	たりる	ichidan-verb	to be enough; to be sufficient	[足: suffice/foot]
過ぎる	すぎる	ichidan-verb	to pass; to exceed; to be too much	[過: pass/exceed]
伸びる	のびる	ichidan-verb	to grow; to stretch; to improve; to extend	[伸: grow/stretch]
信じる	しんじる	ichidan-verb	to believe; to trust	[信: believe/trust]
感じる	かんじる	ichidan-verb	to feel; to sense	[感: feel/sense]
似る	にる	ichidan-verb	to resemble; to look like	[似: resemble]
間違える	まちがえる	ichidan-verb	to make a mistake; to get wrong	[間: interval/space | 違: differ/wrong]
覚める	さめる	ichidan-verb	to wake up; to come to senses; (heat) to cool down	[覚: wake/awaken]
進める	すすめる	ichidan-verb	to advance; to proceed; to move forward; to promote	[進: advance/proceed]
遅れる	おくれる	ichidan-verb	to be late; to fall behind	[遅: be late/slow]
汚れる	よごれる	ichidan-verb	to get dirty; to be stained	[汚: get dirty/filthy]
壊れる	こわれる	ichidan-verb	to break; to be broken	[壊: break]
触れる	ふれる	ichidan-verb	to touch; to come into contact; to mention briefly	[触: touch/contact]
生まれる	うまれる	ichidan-verb	to be born	[生: be born/life]
聞こえる	きこえる	ichidan-verb	to be audible; to be heard	[聞: hear/listen]
いる	いる	ichidan-verb	to exist (animate); to be (someone is here)
できる	できる	ichidan-verb	to be able to; can do; to be made; to be completed
付ける	つける	ichidan-verb	to attach; to add; to turn on (a light); to set (a rule/condition)	[付: attach/add]
止める	とめる	ichidan-verb	to stop (something); to turn off; to park (a car)	[止: stop]
取れる	とれる	ichidan-verb	to come off; to be removed; to be obtained/caught	[取: come off/take]
掛ける	かける	ichidan-verb	to hang (something); to put on; to apply; to make a call	[掛: hang/apply]
讃える	たたえる	ichidan-verb	to praise; to acclaim	[讃: praise/extol]
掲げる	かかげる	ichidan-verb	to raise; to hold up	[掲: raise/hold up]
化ける	ばける	ichidan-verb	to transform; to disguise oneself	[化: transform/change]
かける	かける	ichidan-verb	to pour; to sprinkle; to hang
しょげる	しょげる	ichidan-verb	to feel down; to be dejected
終わらせる	おわらせる	ichidan-verb	to finish; to bring to an end	[終: end/finish]
入れる	いれる	ichidan-verb	to put in	[入: put in/enter]
離れる	はなれる	ichidan-verb	to move away; to leave	[離: separate/leave]
ほどける	ほどける	ichidan-verb	to come undone; to get untied
下りる	おりる	ichidan-verb	to go down; to descend	[下: go down/descend]
見える	みえる	ichidan-verb	to be visible; to be able to see	[見: see/be visible]
外れる	はずれる	ichidan-verb	to come off; to be disconnected; to miss	[外: come off/outside]
合わせる	あわせる	ichidan-verb	to match; to align	[合: match/align]
増える	ふえる	ichidan-verb	to increase	[増: increase]
居る	いる	ichidan-verb	to exist; to be present (animate)	[居: reside/be present]
向ける	むける	ichidan-verb	to turn toward; to point at	[向: turn toward/face]
鍛える	きたえる	ichidan-verb	to train; to forge	[鍛: train/forge]
諦める	あきらめる	ichidan-verb	to give up; to abandon hope	[諦: give up/abandon]
すぎる	すぎる	ichidan-verb	to exceed; to be too much
くれる	くれる	ichidan-verb	to give (to me/us)
まとめる	まとめる	ichidan-verb	to gather together; to summarize
備える	そなえる	ichidan-verb	to prepare for; to equip	[備: prepare/equip]
剥がれる	はがれる	ichidan-verb	to peel off; to come off	[剥: peel/come off]
努める	つとめる	ichidan-verb	to make an effort; to strive	[努: strive/exert]
勤める	つとめる	ichidan-verb	to work for; to be employed at	[勤: work/be employed]
存じる	ぞんじる	ichidan-verb	to know; to think (humble)	[存: know/think (humble)]
射る	いる	ichidan-verb	to shoot (an arrow)	[射: shoot (arrow)]
崩れる	くずれる	ichidan-verb	to collapse; to crumble	[崩: collapse/crumble]
建てる	たてる	ichidan-verb	to build; to erect	[建: build/erect]
得る	える	ichidan-verb	to gain; to obtain	[得: gain/obtain]
慣れる	なれる	ichidan-verb	to get used to; to become accustomed	[慣: get used to/accustom]
憧れる	あこがれる	ichidan-verb	to long for; to admire	[憧: long for/admire]
抜ける	ぬける	ichidan-verb	to come out; to slip out; to be missing	[抜: come out/slip out]
抱える	かかえる	ichidan-verb	to hold in one's arms; to be burdened with	[抱: hold/be burdened]
