# label: Handling & Change
# Transitive ichidan that act on / change a concrete object, plus aspectual
# 始める/終える/続ける. Cognition & expression go in mind.tsv.
kanji	hiragana	type	english	breakdown
着る	きる	ichidan-verb	to wear (on the upper body); to put on	[着: wear/put on]
食べる	たべる	ichidan-verb	to eat	[食: eat/food]
開ける	あける	ichidan-verb	to open (a door/window/container)	[開: open]
空ける	あける	ichidan-verb	to make empty; to vacate; to clear (space/time)	[空: empty/vacate]
閉める	しめる	ichidan-verb	to close (something)	[閉: close/shut]
変える	かえる	ichidan-verb	to change (something); to alter	[変: change]
借りる	かりる	ichidan-verb	to borrow; to rent	[借: borrow/rent]
浴びる	あびる	ichidan-verb	to bathe in; to take (a shower); to receive (criticism, etc.)	[浴: bathe]
迎える	むかえる	ichidan-verb	to pick up; to welcome; to receive	[迎: welcome/receive]
始める	はじめる	ichidan-verb	to begin	[始: begin/start]
終える	おえる	ichidan-verb	to finish; to end; to complete	[終: end/finish]
続ける	つづける	ichidan-verb	to continue; to keep doing	[続: continue]
育てる	そだてる	ichidan-verb	to raise; to grow; to bring up (a child)	[育: raise/grow]
捨てる	すてる	ichidan-verb	to throw away; to discard	[捨: throw away/discard]
集める	あつめる	ichidan-verb	to collect; to gather	[集: collect/gather]
受ける	うける	ichidan-verb	to receive; to take (a test); to accept	[受: receive]
付ける	つける	ichidan-verb	to attach; to add; to turn on (a light); to set (a rule/condition)	[付: attach/add]
止める	とめる	ichidan-verb	to stop (something); to turn off; to park (a car)	[止: stop]
掛ける	かける	ichidan-verb	to hang (something); to put on; to apply; to make a call	[掛: hang/apply]
掲げる	かかげる	ichidan-verb	to raise; to hold up	[掲: raise/hold up]
かける	かける	ichidan-verb	to pour; to sprinkle; to hang
終わらせる	おわらせる	ichidan-verb	to finish; to bring to an end	[終: end/finish]
入れる	いれる	ichidan-verb	to put in	[入: put in/enter]
合わせる	あわせる	ichidan-verb	to match; to align	[合: match/align]
向ける	むける	ichidan-verb	to turn toward; to point at	[向: turn toward/face]
鍛える	きたえる	ichidan-verb	to train; to forge	[鍛: train/forge]
くれる	くれる	ichidan-verb	to give (to me/us)
まとめる	まとめる	ichidan-verb	to gather together; to summarize
備える	そなえる	ichidan-verb	to prepare for; to equip	[備: prepare/equip]
混ぜる	まぜる	ichidan-verb	to mix; to stir in	[混: mix]
締める	しめる	ichidan-verb	to fasten; to tighten; to tie	[締: fasten/tighten]
縮める	ちぢめる	ichidan-verb	to shorten; to reduce	[縮: shorten/reduce]
薄める	うすめる	ichidan-verb	to dilute; to water down	[薄: dilute/water down]
納める	おさめる	ichidan-verb	to pay; to store; to deliver	[納: pay/store]
固める	かためる	ichidan-verb	to harden; to solidify; to strengthen	[固: harden/solidify]
沈める	しずめる	ichidan-verb	to sink (something); to submerge	[沈: sink/submerge]
束ねる	たばねる	ichidan-verb	to bundle; to tie up	[束: bundle/tie]
換える	かえる	ichidan-verb	to exchange; to replace	[換: exchange/replace]
届ける	とどける	ichidan-verb	to deliver; to report; to send	[届: deliver/report]
進める	すすめる	ichidan-verb	to advance; to proceed; to move forward; to promote	[進: advance/proceed]
建てる	たてる	ichidan-verb	to build; to erect	[建: build/erect]
得る	える	ichidan-verb	to gain; to obtain	[得: gain/obtain]
投げる	なげる	ichidan-verb	to throw; to toss	[投: throw/toss]
捕まえる	つかまえる	ichidan-verb	to catch; to capture	[捕: catch/capture]
泊める	とめる	ichidan-verb	to put up (a guest); to give lodging	[泊: lodge/put up]
与える	あたえる	ichidan-verb	to give; to grant; to cause	[与: give/grant]
奏でる	かなでる	ichidan-verb	to play (a musical instrument)	[奏: play (music)]
蓄える	たくわえる	ichidan-verb	to store up; to save; to accumulate	[蓄: store up/accumulate]
閉じる	とじる	ichidan-verb	to close; to shut	[閉: close/shut]
射る	いる	ichidan-verb	to shoot (an arrow)	[射: shoot (arrow)]
抱える	かかえる	ichidan-verb	to hold in one's arms; to be burdened with	[抱: hold/be burdened]
辞める	やめる	ichidan-verb	to quit; to resign	[辞: quit/resign]
揚げる	あげる	ichidan-verb	to deep-fry; to raise; to hoist	[揚: fry/raise]
