# label: Mind & Expression
# Transitive ichidan of cognition, perception, expression, and directed
# social action (見る, 考える, 教える, 褒める…).
kanji	hiragana	type	english	breakdown
見る	みる	ichidan-verb	to see; to look	[見: see/look]
考える	かんがえる	ichidan-verb	to think; to consider	[考: think/consider]
覚える	おぼえる	ichidan-verb	to remember; to memorize; to learn	[覚: remember/sense]
忘れる	わすれる	ichidan-verb	to forget	[忘: forget]
教える	おしえる	ichidan-verb	to teach; to tell	[教: teach]
伝える	つたえる	ichidan-verb	to convey; to tell; to pass on (a message)	[伝: convey/transmit]
調べる	しらべる	ichidan-verb	to check; to investigate; to look up	[調: investigate/check]
比べる	くらべる	ichidan-verb	to compare	[比: compare]
見せる	みせる	ichidan-verb	to show; to let (someone) see	[見: see/show]
決める	きめる	ichidan-verb	to decide	[決: decide]
認める	みとめる	ichidan-verb	to recognize; to admit; to approve	[認: recognize/admit]
褒める	ほめる	ichidan-verb	to praise; to compliment	[褒: praise]
信じる	しんじる	ichidan-verb	to believe; to trust	[信: believe/trust]
感じる	かんじる	ichidan-verb	to feel; to sense	[感: feel/sense]
間違える	まちがえる	ichidan-verb	to make a mistake; to get wrong	[間: interval/space | 違: differ/wrong]
諦める	あきらめる	ichidan-verb	to give up; to abandon hope	[諦: give up/abandon]
讃える	たたえる	ichidan-verb	to praise; to acclaim	[讃: praise/extol]
求める	もとめる	ichidan-verb	to seek; to request; to demand	[求: seek/request]
訪ねる	たずねる	ichidan-verb	to visit; to call on	[訪: visit/call on]
訪れる	おとずれる	ichidan-verb	to visit; to arrive (of a season)	[訪: visit]
責める	せめる	ichidan-verb	to blame; to criticize	[責: blame/criticize]
攻める	せめる	ichidan-verb	to attack; to assault	[攻: attack/assault]
苛める	いじめる	ichidan-verb	to bully; to torment	[苛: bully/torment]
薦める	すすめる	ichidan-verb	to recommend	[薦: recommend]
演じる	えんじる	ichidan-verb	to perform; to act (a role)	[演: perform/act]
診る	みる	ichidan-verb	to examine (medically)	[診: examine (medically)]
踏まえる	ふまえる	ichidan-verb	to be based on; to take into account	[踏: be based on/tread]
恐れる	おそれる	ichidan-verb	to fear; to be afraid of	[恐: fear/be afraid]
存じる	ぞんじる	ichidan-verb	to know; to think (humble)	[存: know/think (humble)]
