# label: Irregular Verbs
# Irregular verbs — する and 来る, plus する-compound verbs (連絡する, 運転する…)
# that inherit する's irregular conjugation. Dictionary forms only.
kanji	hiragana	type	english
する	する	irregular-verb	to do
びっくりする	びっくりする	irregular-verb	to be surprised
注意する	ちゅういする	irregular-verb	to be careful; to pay attention
連絡する	れんらくする	irregular-verb	to contact; to get in touch
来る	くる	irregular-verb	to come
アクセスする	アクセスする	irregular-verb	to access
サインインする	サインインする	irregular-verb	to sign in
サブスクライブする	サブスクライブする	irregular-verb	to subscribe
ログインする	ログインする	irregular-verb	to log in; sign in
運転する	うんてんする	irregular-verb	to drive
鑑賞する	かんしょうする	irregular-verb	to appreciate; to watch (art/film)
再生する	さいせいする	irregular-verb	to play; to playback
視聴する	しちょうする	irregular-verb	to watch; to view
対戦する	たいせんする	irregular-verb	to compete; to face off
挑戦する	ちょうせんする	irregular-verb	to challenge; to try
挑発する	ちょうはつする	irregular-verb	to provoke
登録する	とうろくする	irregular-verb	to register; subscribe
認証する	にんしょうする	irregular-verb	to authenticate; verify identity
説明する	せつめいする	irregular-verb	to explain
予約する	よやくする	irregular-verb	to reserve; to book
影響する	えいきょうする	irregular-verb	to influence; to affect
