# label: Size & Quantity
# Size, distance & quantity — physical extent and amount.
# Belongs here: dimensions (大きい, 広い, 厚い), distance (近い, 遠い), amount
# (多い, 少ない), shape (丸い), and the high/low/cheap/expensive cluster
# (高い, 安い). Age and speed go in time-speed.tsv.
kanji	hiragana	type	english	breakdown
長い	ながい	i-adjective	long	[長: long]
短い	みじかい	i-adjective	short	[短: short]
高い	たかい	i-adjective	tall; high; expensive	[高: high/tall/expensive]
安い	やすい	i-adjective	cheap; inexpensive	[安: cheap/at ease]
低い	ひくい	i-adjective	low; short (height)	[低: low]
広い	ひろい	i-adjective	wide; spacious	[広: wide/broad]
狭い	せまい	i-adjective	narrow; cramped	[狭: narrow]
大きい	おおきい	i-adjective	big; large	[大: big/large]
小さい	ちいさい	i-adjective	small	[小: small/little]
多い	おおい	i-adjective	many; a lot	[多: many/much]
少ない	すくない	i-adjective	few; little	[少: few/little]
近い	ちかい	i-adjective	near; close	[近: near/close]
遠い	とおい	i-adjective	far; distant	[遠: far/distant]
重い	おもい	i-adjective	heavy	[重: heavy]
軽い	かるい	i-adjective	light (weight)	[軽: light]
細い	ほそい	i-adjective	thin; slender	[細: thin/slender]
太い	ふとい	i-adjective	thick; fat	[太: thick/fat]
深い	ふかい	i-adjective	deep	[深: deep]
浅い	あさい	i-adjective	shallow	[浅: shallow]
厚い	あつい	i-adjective	thick (flat objects)	[厚: thick]
薄い	うすい	i-adjective	thin; pale; weak (flavor)	[薄: thin/faint]
丸い	まるい	i-adjective	round	[丸: round]
四角い	しかくい	i-adjective	square	[四: four | 角: corner/angle]
