# Manner adverbs — how an action is carried out.
# Belongs here: non-onomatopoeic manner words (ゆっくり, じっと, 正々堂々).
# Sound/state mimetics go in onomatopoeia.tsv. Adjective 〜く/〜に forms (早く,
# 静かに) are conjugations — they live in the adjective decks, not here.
kanji	hiragana	type	english	breakdown
ゆっくり	ゆっくり	adverb	slowly; at ease
じっと	じっと	adverb	still; motionlessly; intently
人知れず	ひとしれず	adverb	secretly; unnoticed	[人: person | 知: know/awareness]
正々堂々	せいせいどうどう	adverb	fair and square; openly and honorably	[正: correct/upright | 堂: hall/dignified]
敢えて	あえて	adverb	daringly; deliberately; venturing to	[敢: daring/bold]
しっかり	しっかり	adverb	firmly; properly; securely
きちんと	きちんと	adverb	neatly; properly; punctually
わざと	わざと	adverb	on purpose; deliberately
必死に	ひっしに	adverb	desperately; frantically	[必: certain/inevitable | 死: death]
一生懸命	いっしょうけんめい	adverb	with all one's might; as hard as one can	[一: one | 生: life | 懸: stake/hang | 命: life]
自ら	みずから	adverb	personally; by oneself	[自: self]
一緒に	いっしょに	adverb	together; with	[一: one | 緒: cord/together]
