# label: Te-form (〜て)
# One te-form example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行って	いって	godan-verb	(godan) te-form — go and…; please go	[行: go/travel]
食べて	たべて	ichidan-verb	(ichidan) te-form — eat and…; please eat	[食: eat/food]
して	して	irregular-verb	(する) te-form — do and…; please do
来て	きて	irregular-verb	(来る) te-form — come and…; please come	[来: come]
買って	かって	godan-verb	(godan) te-form — buy and…; please buy	[買: buy]
書いて	かいて	godan-verb	(godan) te-form — write and…; please write	[書: write]
泳いで	およいで	godan-verb	(godan) te-form — swim and…; please swim	[泳: swim]
話して	はなして	godan-verb	(godan) te-form — speak and…; please speak	[話: speak/talk]
待って	まって	godan-verb	(godan) te-form — wait and…; please wait	[待: wait]
死んで	しんで	godan-verb	(godan) te-form — die and…; please die	[死: die]
遊んで	あそんで	godan-verb	(godan) te-form — play and…; please play	[遊: play]
飲んで	のんで	godan-verb	(godan) te-form — drink and…; please drink	[飲: drink]
取って	とって	godan-verb	(godan) te-form — take and…; please take	[取: take]
見て	みて	ichidan-verb	(ichidan) te-form — see and…; please see	[見: see/look]
