# Particles (助詞) — grammatical markers that attach to words/clauses.
# Belongs here: case particles (は, が, を, に, で, へ), focus/adverbial particles
# (も, しか, こそ, さえ, でも, ばかり, ほど, くらい, など), and common compound
# particles (には, では, として, にとって, によって). Sentence-final particles
# (か, ね, よ, な) live here too. Multi-mora bound patterns go in sentence-patterns.
kanji	hiragana	type	english
は	は	particle	topic marker
が	が	particle	subject marker
を	を	particle	direct-object marker
に	に	particle	to; at; in (direction, time, location)
で	で	particle	at; by; with (location of action, means)
へ	へ	particle	to; toward (direction)
と	と	particle	and; with; (quotation); if/when
や	や	particle	and; such as (non-exhaustive list)
の	の	particle	's (possessive); of; (nominalizer)
も	も	particle	also; too; even
から	から	particle	from; since; because
まで	まで	particle	until; up to; as far as
より	より	particle	than; from
だけ	だけ	particle	only; just
しか	しか	particle	only; nothing but (with negative)
こそ	こそ	particle	precisely; for sure (emphasis)
さえ	さえ	particle	even; if only
でも	でも	particle	even; ... or something; but
ばかり	ばかり	particle	only; just; about
ほど	ほど	particle	about; to the extent of
くらい	くらい	particle	about; approximately; to the extent
など	など	particle	etc.; and so on; things like
し	し	particle	and (listing reasons); what's more
か	か	particle	question marker; or
ね	ね	particle	right?; isn't it? (seeking agreement)
よ	よ	particle	(emphasis; informing the listener)
な	な	particle	(prohibition; emphasis — sentence-final)
って	って	particle	(casual quotation/topic); they say
について	について	particle	about; regarding; concerning
には	には	particle	for; in (に with topic/contrast emphasis)
では	では	particle	at/in (で emphasized); well then
として	として	particle	as; in the capacity of
にとって	にとって	particle	for; to; from the standpoint of
によって	によって	particle	by; depending on; due to
ず	ず	particle	without doing (negative connective)
ずに	ずに	particle	without doing
