# Grammar Terms (Nouns / Language).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
送り仮名	おくりがな	noun	kana suffixes after kanji	[送: send/append | 仮: provisional/borrowed | 名: name]
ます形	ますけい	noun	polite verb form ending in masu	[形: form/shape]
ない形	ないけい	noun	negative verb form ending in nai	[形: form/shape]
て形	てけい	noun	te-form; connective verb form used for sequences, requests, and aspect	[形: form/shape]
た形	たけい	noun	past tense verb form ending in ta	[形: form/shape]
ら抜き言葉	らぬきことば	noun	ra-dropping speech; colloquial omission of ra in potential forms	[抜: pull out/omit | 言: say/word | 葉: leaf/word]
単独	たんどく	noun	standalone; independent (used to describe a kanji appearing alone, not in a compound)	[単: single/sole | 独: alone/single]
活用	かつよう	noun	inflection; conjugation of a word to express grammatical meaning	[活: active/use | 用: use/function]
活用形	かつようけい	noun	conjugated form; an inflected verb or adjective form	[活: active/use | 用: use/function | 形: form/shape]
語幹	ごかん	noun	word stem; the core part of a word before inflection	[語: word/language | 幹: trunk/stem]
語尾	ごび	noun	word ending; inflectional ending of a verb or adjective	[語: word/language | 尾: tail/end]
辞書形	じしょけい	noun	dictionary form; plain non-past form of a verb	[辞: word/term | 書: write/document | 形: form/shape]
可能形	かのうけい	noun	potential form; expresses ability or possibility	[可: possible/can | 能: ability | 形: form/shape]
意向形	いこうけい	noun	volitional form; expresses intention or suggestion	[意: mind/intention | 向: face/toward | 形: form/shape]
命令形	めいれいけい	noun	imperative form; used to give commands	[命: command/life | 令: order/command | 形: form/shape]
仮定形	かていけい	noun	conditional form; typically the ba form	[仮: provisional/hypothetical | 定: fix/decide | 形: form/shape]
五段動詞	ごだんどうし	noun	godan verb; verb that conjugates across five vowel rows	[五: five | 段: step/grade | 動: move | 詞: word/part of speech]
一段動詞	いちだんどうし	noun	ichidan verb; verb with a single stem used for conjugation	[一: one | 段: step/grade | 動: move | 詞: word/part of speech]
他動詞	たどうし	noun	transitive verb; verb that takes a direct object	[他: other | 動: move | 詞: word/part of speech]
自動詞	じどうし	noun	intransitive verb; verb that does not take a direct object	[自: self | 動: move | 詞: word/part of speech]
五段	ごだん	noun	godan; five-step	[五: five | 段: step/grade]
文法	ぶんぽう	noun	grammar	[文: sentence/writing | 法: law/method]
