kanji	hiragana	type	english
ウェブカメラ	ウェブカメラ	noun	webcam
ルーター	ルーター	noun	router
タブレット	タブレット	noun	tablet
プロジェクター	プロジェクター	noun	projector
トラックパッド	トラックパッド	noun	trackpad
スマートウォッチ	スマートウォッチ	noun	smartwatch
スキャナー	スキャナー	noun	scanner
モデム	モデム	noun	modem
USBメモリ	ユーエスビーメモリ	noun	USB flash drive
変換アダプター	へんかんアダプター	noun	conversion adapter
スマホ	スマホ	noun	smartphone
スマートフォン	スマートフォン	noun	smartphone
コンピューター	コンピューター	noun	computer
パソコン	パソコン	noun	personal computer
アプリ	アプリ	noun	mobile app
エレベーター	えれべーたー	noun	elevator
カメラ	カメラ	noun	camera
テレビ	テレビ	noun	television; TV
ラジオ	ラジオ	noun	radio
スピーカー	スピーカー	noun	speaker
イヤホン	イヤホン	noun	earphones
ヘッドホン	ヘッドホン	noun	headphones
マイク	マイク	noun	microphone
プリンター	プリンター	noun	printer
モニター	モニター	noun	monitor; screen
キーボード	キーボード	noun	keyboard
マウス	マウス	noun	mouse (computer)
バッテリー	バッテリー	noun	battery
コード	コード	noun	cord; code (context-dependent)
ケーブル	ケーブル	noun	cable
テレビジョン	テレビジョン	noun	television
レンズ	レンズ	noun	lens
