# Japanese cities (市).
# Belongs here: incorporated cities, written with the 〜市 suffix so the
# geography type is explicit. Tokyo's wards (区) go in districts.tsv; towns and
# villages (町/村) in towns.tsv; prefectures in prefectures.tsv.
kanji	hiragana	type	english	breakdown
東京	とうきょう	proper-noun	Tokyo (capital; officially 東京都)	[東: east | 京: capital]
札幌市	さっぽろし	proper-noun	Sapporo City	[札: tag/slip | 幌: canopy | 市: city]
仙台市	せんだいし	proper-noun	Sendai City	[仙: hermit/immortal | 台: platform/stand | 市: city]
さいたま市	さいたまし	proper-noun	Saitama City	[市: city]
千葉市	ちばし	proper-noun	Chiba City	[千: thousand | 葉: leaf | 市: city]
横浜市	よこはまし	proper-noun	Yokohama City	[横: side | 浜: beach/shore | 市: city]
川崎市	かわさきし	proper-noun	Kawasaki City	[川: river | 崎: cape/steep | 市: city]
名古屋市	なごやし	proper-noun	Nagoya City	[名: name | 古: old | 屋: house/shop | 市: city]
京都市	きょうとし	proper-noun	Kyoto City	[京: capital | 都: capital/metropolis | 市: city]
大阪市	おおさかし	proper-noun	Osaka City	[大: big | 阪: slope | 市: city]
神戸市	こうべし	proper-noun	Kobe City	[神: god | 戸: door/household | 市: city]
広島市	ひろしまし	proper-noun	Hiroshima City	[広: wide | 島: island | 市: city]
福岡市	ふくおかし	proper-noun	Fukuoka City	[福: fortune | 岡: hill | 市: city]
北九州市	きたきゅうしゅうし	proper-noun	Kitakyushu City	[北: north | 九: nine | 州: province/state | 市: city]
那覇市	なはし	proper-noun	Naha City	[那: (phonetic) | 覇: supremacy/champion | 市: city]
金沢市	かなざわし	proper-noun	Kanazawa City	[金: gold | 沢: marsh | 市: city]
長崎市	ながさきし	proper-noun	Nagasaki City	[長: long | 崎: cape/steep | 市: city]
熊本市	くまもとし	proper-noun	Kumamoto City	[熊: bear | 本: origin/base | 市: city]
奈良市	ならし	proper-noun	Nara City	[奈: (phonetic) | 良: good | 市: city]
鎌倉市	かまくらし	proper-noun	Kamakura City	[鎌: sickle | 倉: storehouse | 市: city]
日光市	にっこうし	proper-noun	Nikko City	[日: sun | 光: light | 市: city]
